name1,name,value,name1_id,name_id,name1_reclamation,name_reclamation,age,sampling_yr,assembly
BM98A_C1,BM98A_B3,-1.99610739148164,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C1,BM98A_C2,-1.87549772480909,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C1,BM98A_C3,-1.5868818094308,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C2,BM98A_A1,-2.17398850343367,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C2,BM98A_A2,-1.46175821077548,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C2,BM98A_A3,-2.66774572219439,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C2,BM98A_B1,-1.83027991399826,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C2,BM98A_B2,-2.27381909781692,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C2,BM98A_B3,-2.540692371166,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C2,BM98A_C1,-1.87549772480909,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C2,BM98A_C3,-1.13947380988522,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_A1,-2.15258275683214,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C3,BM98A_A2,-1.38800350212187,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_A3,-0.697758034591704,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_B1,-1.36345091175447,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_B2,-0.228189332439082,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_B3,-1.73052522229499,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_C1,-1.5868818094308,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C3,BM98A_C2,-1.13947380988522,2008,2008,biosolids,biosolids,10,2018,0
BM98B_A1,BM98B_A2,-1.24773216472996,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A1,BM98B_A3,-1.16008965645672,2004,2004,biosolids,biosolids,14,2018,0
